Image,Model,Objects Detected,Average Confidence,Time Taken (s)
Img 1.jpg,Faster R-CNN,28,0.37653693556785583,1.9873127937316895
Img 1.jpg,YOLOv8,16,0.4717186689376831,0.4345548152923584
Img 2.jpg,Faster R-CNN,28,0.38358306884765625,1.2207307815551758
Img 2.jpg,YOLOv8,23,0.5011018514633179,0.20888185501098633
Img 3.jpg,Faster R-CNN,1,0.2506524920463562,1.260591983795166
Img 3.jpg,YOLOv8,1,0.9050304889678955,0.30645012855529785
Img 4.jpg,Faster R-CNN,30,0.3828803598880768,1.6833012104034424
Img 4.jpg,YOLOv8,24,0.5082101225852966,0.16899371147155762
Img 5.jpg,Faster R-CNN,8,0.25843414664268494,1.3623297214508057
Img 5.jpg,YOLOv8,5,0.815400242805481,0.17998218536376953
